trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-155.58696369945628,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-127.03159926364151,"{0: 17, 1: 3, 2: 7, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,13,-13.359654178116854,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-81.92978935679969,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-96.67254934796064,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-140.2627627484597,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-106.75760525446992,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-30.471438605866425,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-70.12693482889543,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-71.98173545596447,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,1,-96.92407868194991,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,17,11.776214749706604,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,3,-0.531601824906553,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-40.12586457110146,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,16,-33.723599484922886,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-46.13330644452906,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-113.9188136899207,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,5,-49.04008478768557,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,20,4.813384143927279,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-72.80501596939348,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,1,-54.491697614020175,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",20,9,12.549934210667871,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,11,-13.924337343339925,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,0,-10.854493395815389,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",30,21,6.310534192320777,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,21.49433773521421,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-10.499900622345823,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,0,-53.72028875488614,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,2,-54.46004983765191,"{0: 19, 1: 1, 2: 0, 3: 2, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,0,-73.63752212352958,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
