trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999999997767179}",25,0,-71.08804838557317,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9999999975812138}",20,0,-116.08225873527631,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9999999973797602}",20,0,-93.8678088170003,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9999999971615281}",20,0,-178.02650121015674,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9999999969251201}",20,0,-69.37017256916083,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9999999966690224}",20,0,-58.0314619397318,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9999999963915951}",25,0,-165.7801611853147,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9999999960910616}",25,0,-18.525774756972996,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9999999957654976}",20,0,-47.34249399311517,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9999999954128183}",20,0,-95.73700165878572,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9999999950307653}",20,0,-81.71304556442146,"{0: 12, 1: 6, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9999999946168924}",20,0,-31.396083993084133,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9999999941685491}",25,0,-157.00993403805407,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9999999936828647}",30,0,-255.64784708153195,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.999999993156729}",25,0,-136.42916796628543,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9999999925867731}",20,0,-77.75571387763003,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9999999919693471}",20,0,-41.6081859654807,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9999999913004975}",25,0,-105.9712422013521,"{0: 15, 1: 0, 2: 8, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9999999905759416}",25,0,-77.5942406991436,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9999999897910394}",20,0,-85.50766313476345,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.999999988940765}",20,0,-87.52093596937613,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9999999880196737}",25,0,-152.9512996510572,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9999999870218675}",25,0,-42.89235252188715,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.999999985940957}",20,0,-155.6006561051662,"{0: 10, 1: 6, 2: 0, 3: 1, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.9999999847700205}",30,0,-118.85160313280379,"{0: 12, 1: 11, 2: 6, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9999999835015602}",20,14,11.764904892291781,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.9999999821274536}",25,0,-126.13807012720115,"{0: 13, 1: 6, 2: 3, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9999999806389016}",25,0,-140.31254187427857,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9999999790263725}",25,0,-110.85404746596414,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9999999772795406}",20,0,-25.18548688865969,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9999999753872202}",25,0,-46.26927666967604,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.999999973337294}",20,0,-113.3947593150444,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9999999711166354}",20,0,-105.34721196210381,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9999999687110248}",25,0,-72.26571070748079,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9999999661050579}",25,2,-109.91291787122684,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 2}",1
36,False,"{'a': 0.5, 'e': 0.9999999632820477}",20,0,-17.340499158782468,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.9999999602239172}",20,0,-70.92116871321707,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.999999956911084}",25,0,-120.27473929707259,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9999999533223347}",20,0,-115.93811528942804,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9999999494346891}",25,0,-119.30097963886926,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9999999452232529}",20,12,-29.9217844119756,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.9999999406610585}",25,0,-129.99098681515812,"{0: 11, 1: 6, 2: 7, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9999999357188923}",20,0,-249.722749243327,"{0: 7, 1: 0, 2: 6, 3: 4, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.9999999303651077}",25,0,-168.28740126811905,"{0: 14, 1: 4, 2: 2, 3: 3, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9999999245654222}",20,0,-213.34298964062273,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
46,False,"{'a': 0.5, 'e': 0.999999918282698}",25,0,-171.60599736798622,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9999999114767041}",20,0,-89.92344060109262,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.999999904103859}",20,0,-93.38096109687415,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9999998961169515}",20,0,-196.68726456381066,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9999998874648379}",25,0,-185.16858725662976,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.9999998780921154}",25,0,-52.95768762350113,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.9999998679387665}",20,0,-209.69802301215745,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.9999998569397752}",25,0,-161.50350225505673,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9999998450247104}",25,0,-104.83518056712133,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.9999998321172752}",20,0,-260.94123136613433,"{0: 5, 1: 3, 2: 7, 3: 1, 4: 4}",0
56,False,"{'a': 0.5, 'e': 0.9999998181348179}",20,16,10.121419612864313,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.9999998029878031}",20,0,-89.34045866073363,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9999997865792385}",20,9,1.1615344599962785,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.9999997688040532}",30,0,-86.12828621805964,"{0: 17, 1: 5, 2: 8, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.9999997495484255}",20,0,-28.12888431711781,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.999999728689054}",20,0,-111.73875018960274,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.9999997060923674}",25,0,-203.29733294342046,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
63,False,"{'a': 0.5, 'e': 0.9999996816136704}",25,0,-140.90177870765822,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.9999996550962157}",20,0,-51.47757509656031,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.9999996263702016}",20,0,-210.16288141287004,"{0: 7, 1: 2, 2: 7, 3: 1, 4: 3}",0
66,False,"{'a': 0.5, 'e': 0.9999995952516839}",20,0,-68.77133957370417,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9999995615413982}",20,0,-32.05870125989704,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.9999995250234844}",25,0,-57.58053718479513,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
